datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
01/01/2011 00:00,1,0,0,1,3.28,3,81,0,16
01/01/2011 01:00,1,0,0,1,2.34,2,80,0,40
01/01/2011 02:00,1,0,0,1,2.34,2,80,0,32
01/01/2011 03:00,1,0,0,1,3.28,3,75,0,13
01/01/2011 04:00,1,0,0,1,3.28,3,75,0,1
01/01/2011 05:00,1,0,0,2,3.28,1,75,6,1
01/01/2011 06:00,1,0,0,1,2.34,2,80,0,2
01/01/2011 07:00,1,0,0,1,1.4,1,86,0,3
01/01/2011 08:00,1,0,0,1,3.28,3,75,0,8
01/01/2011 09:00,1,0,0,1,7.04,7,76,0,14
01/01/2011 10:00,1,0,0,1,9.86,10,76,17,36
01/01/2011 11:00,1,0,0,1,8.92,6,81,19,56
01/01/2011 12:00,1,0,0,1,11.74,12,77,19,84
01/01/2011 13:00,1,0,0,2,13.62,14,72,20,94
01/01/2011 14:00,1,0,0,2,13.62,14,,19,106
01/01/2011 15:00,1,0,0,2,12.68,13,77,20,110
01/01/2011 16:00,1,0,0,2,11.74,12,82,20,93
01/01/2011 17:00,1,0,0,2,12.68,13,82,19,67
01/01/2011 18:00,1,0,0,3,11.74,12,88,17,35
01/01/2011 19:00,1,0,0,3,11.74,12,88,17,37
01/01/2011 20:00,1,0,0,2,10.8,11,87,17,36
01/01/2011 21:00,1,0,0,2,10.8,11,87,13,34
01/01/2011 22:00,1,0,0,2,10.8,11,94,15,28
01/01/2011 23:00,1,0,0,2,13.62,14,88,20,39
02/01/2011 00:00,1,0,0,2,13.62,14,88,20,17
02/01/2011 01:00,1,0,0,2,12.68,13,94,17,17
02/01/2011 02:00,1,0,0,2,11.74,12,100,19,9
02/01/2011 03:00,1,0,0,2,13.62,14,94,13,6
02/01/2011 04:00,1,0,0,2,13.62,14,94,13,3
02/01/2011 06:00,1,0,0,3,11.74,12,77,20,2
02/01/2011 07:00,1,0,0,2,10.8,11,76,13,1
02/01/2011 08:00,1,0,0,3,10.8,11,71,15,8
02/01/2011 09:00,1,0,0,2,9.86,10,76,15,20
02/01/2011 10:00,1,0,0,2,8.92,7,81,15,53
02/01/2011 11:00,1,0,0,2,8.92,6,71,17,70
02/01/2011 12:00,1,0,0,2,8.92,6,66,20,93
02/01/2011 13:00,1,0,0,2,8.92,7,66,9,75
02/01/2011 14:00,1,0,0,3,8.92,7,76,13,59
02/01/2011 15:00,1,0,0,3,7.98,6,81,11,74
02/01/2011 16:00,1,0,0,3,7.98,6,71,11,76
02/01/2011 17:00,1,0,0,1,7.98,6,57,13,65
02/01/2011 18:00,1,0,0,2,8.92,6,46,22,53
02/01/2011 19:00,1,0,0,1,7.04,3,42,30,30
02/01/2011 20:00,1,0,0,1,6.1,2,39,24,22
02/01/2011 21:00,1,0,0,1,4.22,-1,44,22,31
02/01/2011 22:00,1,0,0,1,3.28,-2,44,20,9
02/01/2011 23:00,1,0,0,1,2.34,-1,47,11,8
03/01/2011 00:00,1,0,1,1,2.34,-3,44,24,5
03/01/2011 01:00,1,0,1,1,1.4,-5,44,28,2
03/01/2011 04:00,1,0,1,1,-0.48,-7,47,26,1
03/01/2011 05:00,1,0,1,1,-0.48,-7,47,19,3
03/01/2011 06:00,1,0,1,1,-1.42,-9,50,26,30
03/01/2011 07:00,1,0,1,1,-1.42,-7,50,13,64
03/01/2011 08:00,1,0,1,1,-1.42,-8,50,19,154
03/01/2011 09:00,1,0,1,1,-0.48,-7,43,26,88
03/01/2011 10:00,1,0,1,1,0.46,-5,43,17,44
03/01/2011 11:00,1,0,1,1,1.4,-4,,22,51
03/01/2011 12:00,1,0,1,1,2.34,-2,35,20,61
03/01/2011 13:00,1,0,1,1,3.28,-2,35,19,61
03/01/2011 14:00,1,0,1,1,4.22,0,30,19,77
03/01/2011 15:00,1,0,1,1,4.22,0,30,17,72
03/01/2011 16:00,1,0,1,1,4.22,0,30,17,76
03/01/2011 17:00,1,0,1,1,3.28,-1,30,15,157
03/01/2011 18:00,1,0,1,1,3.28,1,32,7,157
03/01/2011 19:00,1,0,1,1,1.4,1,47,0,110
03/01/2011 20:00,1,0,1,1,1.4,-1,47,7,52
03/01/2011 21:00,1,0,1,1,0.46,-3,64,9,52
